artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
Davorin Popović,Pop,1946,2001,55,1946-09-23,1946-09-23,23,2001-06-18,18,2001-06-18
Davy Jones (musician),Bubblegum,1945,2012,67,1945-12-30,1945-12-30,1945,2012-02-29,29,2012-02-29
Dean Martin,Rock and roll,1917,1995,78,1917-06-07,1917-06-07,1917-06-07,1995-12-25,1995-12-25,1995-12-25
Dean Reed,Rock'n'Roll,1938,1986,48,1938-09-22,1938-09-22,1938-09-22,,1986-06-13,1986-06-13
Deborahe Glasgow,Lovers rock,1965,1994,29,,1965,1965,1994-01-25,1994-01-25,1994-01-25
Dédé Fortin,Folk rock,1962,2000,38,1962-11-17,,17,2000-05-08,8,
Dee Clark,R&B,1938,1990,52,1938-11-07,"Blytheville, Arkansas, US",1938-11-07,1990-12-07,1990-12-07,"Smyrna, Georgia, US"
Dee Dee Ramone,Punk rock,1951,2002,51,1951-09-18,1951-09-18,1951-09-18,2002-06-05,2002-06-05,2002-06-05
Dee Dee Warwick,R&B,1942,2008,66,1942-09-25,1942-09-25,1942-09-25,2008-10-18,2008-10-18,2008-10-18
Dee Edwards (singer),Soul music,1945,2006,61,1945-06-19,1945-06-19,1945-06-19,2006-01-25,2006-01-25,2006-01-25
Dee Murray,Rock music,1946,1992,46,1946-04-03,,3,1992-01-15,15,
Deenanath Mangeshkar,Natya Sangeet,1900,1942,42,1900-12-29,29,1900-12-29,1942-04-24,1942-04-24,24
DeFord Bailey,Country music,1899,1982,83,1899-12-14,1899-12-14,1899-12-14,1982-07-02,1982-07-02,1982-07-02
Delaney Bramlett,Rock music,1939,2008,69,1939-07-01,1939-07-01,1939-07-01,2008-12-27,2008-12-27,"Los Angeles, California, United States"
Delia Derbyshire,Electronic music,1937,2001,64,1937-05-05,1937-05-05,5,2001-07-03,2001-07-03,2001-07-03
Delkash,Traditional music,1924,2004,80,1924-02-26,1924-02-26,1924-02-26,2004-09-01,2004-09-01,2004-09-01
Delores Holmes,Rock and roll,1946,2010,64,1946-07-18,1946-07-18,1946-07-18,2010-04-16,2010-04-16,2010-04-16
Delroy Wilson,Ska,1948,1995,47,1948-10-05,1948-10-05,5,1995-03-06,6,1995-03-06
Del Shannon,Country music,1934,1990,56,1934-12-30,1934-12-30,1934-12-30,1990-02-08,1990-02-08,1990-02-08
Del Wood,Country music,1920,1989,69,1920-02-22,1920-02-22,1920-02-22,1989-10-03,1989-10-03,1989-10-03
Demetrio Stratos,Jazz fusion,1945,1979,34,1945-04-22,1945-04-22,1945-04-22,1979-06-13,1979-06-13,1979-06-13
Denis D'Amour,Speed metal,1959,2005,46,1959-09-24,1959-09-24,1959-09-24,2005-08-26,2005-08-26,2005-08-26
Denis Payton,Beat music,1943,2006,63,1943-08-11,1943-08-11,11,2006-12-17,17,2006-12-17
Denis Preston,Jazz,1916,1979,63,,,1916,,1979,
Dennis Brown,Reggae,1957,1999,42,1957-02-01,1957-02-01,1957-02-01,1999-07-01,1999-07-01,1999-07-01
Dennis Danell,Punk blues,1961,2000,39,1961-06-24,1961-06-24,1961-06-24,2000-02-29,2000-02-29,2000-02-29
Dennis Hale (vocalist),Big Band,1922,1960,38,1922-05-24,1922-05-24,1922-05-24,1960-09-10,1960-09-10,1960-09-10
Dennis Linde,Rock music,1943,2006,63,1943-03-18,United_States,1943-03-18,2006-12-22,2006-12-22,"Nashville,_Tennessee"
Dennis Pavao,Hawaiian music,1951,2002,51,1951-07-11,1951-07-11,1951-07-11,2002-01-19,2002-01-19,2002-01-19
Dennis Wilson,Psychedelic rock,1944,1983,39,1944-12-04,1944-12-04,1944-12-04,1983-12-28,1983-12-28,1983-12-28
Denny Doherty,Pop music,1940,2007,67,1940-11-29,1940-11-29,1940-11-29,2007-01-19,2007-01-19,2007-01-19
Denny Wright,Jazz,1924,1992,68,1924-05-06,1924-05-06,6,1992-02-08,8,1992-02-08
"Denys Irving (Musician, Filmmaker)",Psych rock,1944,1976,32,1944-01-04,1944-01-04,4,1976-08-05,5,1976-08-05
Denzil Best,Bebop,1917,1965,48,1917-04-27,1917-04-27,1917-04-27,1965-05-24,1965-05-24,1965-05-24
Derek B,Hip hop music,1965,2009,44,1965-01-15,1965-01-15,1965,2009-11-15,2009,2009-11-15
Derek Bailey (guitarist),Avant-garde jazz,1930,2005,75,1930-01-29,1930-01-29,29,2005-12-25,25,2005-12-25
Derek Leckenby,Rock music,1943,1994,51,1943-05-14,1943-05-14,14,1994-06-04,4,1994-06-04
Derf Scratch,Punk rock,1951,2010,59,1951-10-30,1951-10-30,1951-10-30,2010-07-28,2010-07-28,2010-07-28
Derrick Plourde,Pop punk,1971,2005,34,1971-10-17,1971-10-17,1971-10-17,2005-03-30,2005-03-30,2005-03-30
Derroll Adams,Folk music,1925,2000,75,1925-11-27,1925-11-27,1925-11-27,2000-02-06,2000-02-06,2000-02-06
Desmond Dekker,Rocksteady,1941,2006,65,1941-07-16,1941-07-16,16,2006-05-25,25,2006-05-25
Detroit Junior,Electric blues,1931,2005,74,1931-10-26,1931-10-26,1931-10-26,2005-08-09,2005-08-09,2005-08-09
Dewey Redman,Jazz,1931,2006,75,1931-05-17,1931-05-17,1931-05-17,2006-09-02,2006-09-02,2006-09-02
Dexter Gordon,Bop,1923,1990,67,1923-02-27,1923-02-27,1923-02-27,1990-04-25,1990-04-25,
Dežo Ursiny,Progressive rock,1947,1995,48,1947-10-04,1947-10-04,4,1995-05-02,2,1995-05-02
Dianne Heatherington,Rock music,1948,1996,48,1948-05-14,1948-05-14,1948-05-14,,1996-10-22,1996-10-22
Dick Campbell (singer-songwriter),Folk rock,1944,2002,58,1944-01-25,1944-01-25,1944-01-25,2002-04-25,2002-04-25,
Dick D'Agostin,Rock and Roll,1936,1993,57,1936-11-05,,1936-11-05,,1993,
Dick Griffey,Disco,1938,2010,72,1938-11-16,1938-11-16,1938-11-16,2010-09-24,2010-09-24,2010-09-24
Dick Heckstall-Smith,Blues-rock,1934,2004,70,1934-09-16,1934-09-16,16,2004-12-17,17,England
Dickie Valentine,Pop music,1929,1971,42,1929-11-04,1929-11-04,4,1971-05-06,1971-05-06,1971-05-06
